trackid,trackname,artist,artistid,genres,main_genre,danceability,energy,loudness,speechness,acousticness,instrumentalness,liveness,valence,tempo
5knuzwU65gJK7IF5yJsuaW,rockabye (feat. sean paul & anne-marie),clean bandit,6MDME20pz9RveH9rEXvrOM, dancepop edm pop popdance post-teenpop tropicalhouse ukdance ukfunky ,rock,0.72,0.763,-4.068,0.0523,0.406,0.0,0.18,0.742,101.965
2xbI8Vmyv3TkpTdywpPyNw,selfish,pnb rock,21WS9wngs9AqFckK7yYJPM, melodicrap poprap rap trap ,rock,0.638,0.6,-5.84,0.0438,0.114,0.0,0.187,0.0399,101.981
36YCdzT57us0LhDmCYtrNE,rockin’,the weeknd,1Xyo4u8uXC1ZmMpatF05PJ, canadiancontemporaryr&b canadianpop pop ,rock,0.738,0.885,-5.547,0.206,0.0133,0.0,0.0821,0.752,112.878
4FlYcJnfkeBpowEHJ72Bmt,rockin' robin,bobby day,4SLfKHcufUqU46DiTAHIsj, doo-wop rhythmandblues rock-and-roll rockabilly ,rock,0.541,0.608,-13.083,0.106,0.298,0.0,0.234,0.938,171.992
1qPJqsojWPApzEuSVoFawJ,rose gold (feat. king von),pnb rock,21WS9wngs9AqFckK7yYJPM, melodicrap poprap rap trap ,rock,0.574,0.623,-5.096,0.191,0.184,0.0,0.103,0.529,79.993
6pWzCKTrKrwbUPzY8RLCoP,rock wit u (awww baby),ashanti,5rkVyNGXEgeUqKkB5ccK83, dancepop hiphop hippop pop r&b urbancontemporary ,rock,0.71,0.797,-3.006,0.0582,0.408,0.0,0.16,0.849,94.998
4Aykm3xrOFSHrAnv80KUhh,rockstar (feat. roddy ricch) - blm remix,dababy,4r63FhuTkUYltbVAg5TQnk, northcarolinahiphop rap ,rock,0.747,0.689,-7.246,0.242,0.197,0.0,0.0884,0.75,89.901
6Vdyu21iT8qScU1haSjWUU,"leave em alone (layton greene, lil baby feat. city girls, pnb rock)",quality control,6i392l38cR3uBPF0DbNs7S, hiphop melodicrap poprap rap southernhiphop trap ,rock,0.76,0.755,-4.735,0.19,0.0163,2.95e-06,0.0909,0.517,101.993
20dkebBtPR4AJ8vVos41Gw,rock salt and nails (live),tyler childers,13ZEDW6vyBF12HYcZRr4EV, kentuckyindie kentuckyroots outlawcountry ,rock,0.449,0.296,-12.608,0.0361,0.892,0.000755,0.892,0.139,139.828
2XHjFJVXYlEzoDvN82h8s5,rocky mountain way,joe walsh,5bDxAyJiTYBat1YnFJhvEK, albumrock bluesrock classicrock countryrock folkrock hardrock heartlandrock mellowgold rock rootsrock softrock southernrock symphonicrock ,rock,0.493,0.376,-15.045,0.0435,0.0241,0.792,0.102,0.419,86.47
2AmEv442DGwSxMGZ9XEvBA,rock of ages,def leppard,6H1RjVyNruCmrBEWRbD0VZ, albumrock hardrock nwobhm rock ,rock,0.706,0.785,-7.666,0.041,0.00802,0.0319,0.195,0.636,105.893
2Adn2LNgkHMH5TelQVAu4n,pretty girl rock,keri hilson,63wjoROpeh5f11Qm93UiJ1, dancepop hippop pop popr&b post-teenpop r&b urbancontemporary ,rock,0.666,0.87,-5.004,0.246,0.203,0.0,0.0851,0.9,160.014
3RBGG1be9aBaSvjnw6ABkh,rockin' that shit,the-dream,1W3FSF1BLpY3hlVIgvenLz, dancepop hiphop hippop popr&b r&b southernhiphop trap urbancontemporary ,rock,0.672,0.62,-4.865,0.0422,0.123,0.0,0.362,0.627,78.005
4GF00uRxC4ECrxNEbnapqf,rock me,one direction,4AK6F7OLvEQ5QYCBNiQWHq, boyband pop post-teenpop talentshow ,rock,0.506,0.909,-3.629,0.0528,0.0261,0.0,0.155,0.814,168.021
1gewemPOUilb21s7CfMS55,bartender song (sittin' at a bar) - alt/rock mix,rehab,1qh1aHXy7LRcb7eyriuJTS, raprock redneck ,rock,0.667,0.673,-6.006,0.0536,0.117,0.0,0.343,0.706,151.834
4PRGxHpCpF2yoOHYKQIEwD,rock and roll - remaster,led zeppelin,36QJpDe2go2KgaRleHCDTp, albumrock classicrock hardrock rock ,rock,0.317,0.887,-7.292,0.0375,0.000582,0.00258,0.0891,0.871,169.613
7xVLFuuYdAvcTfcP3IG3dS,"work remix (feat. a$ap rocky, french montana, trinidad james & schoolboy q)",a$ap ferg,5dHt1vcEm9qb8fCyLcB3HL, hiphop poprap rap southernhiphop trap undergroundhiphop ,rock,0.841,0.733,-5.077,0.142,0.0246,0.0,0.174,0.284,130.009
7k2t5SM7IsgEtKtRK8V2sm,rockstar sea shanty,nickelback,6deZN1bslXzeGvOLaLMOIF, alternativemetal canadianrock numetal post-grunge ,rock,0.69,0.695,-8.633,0.0544,0.353,0.0,0.323,0.771,89.997
6WCeFNVAXUtNczb7lqLiZU,crocodile rock,elton john,3PhoLpVuITZKcymswpck5b, glamrock mellowgold pianorock softrock ,rock,0.621,0.8,-7.284,0.0344,0.0263,1.51e-05,0.0591,0.968,149.91
2MvxhedNhxhj32eVQJnmII,rockstar shit,blind.see,6SSQog9cu2XcgHTRHPmECq, viralrap ,rock,0.916,0.445,-7.143,0.571,0.0179,1.84e-06,0.381,0.0519,140.124
5de7ci7TFqbQ1PFgKAD7MR,"horses (with pnb rock, kodak black & a boogie wit da hoodie)",pnb rock,21WS9wngs9AqFckK7yYJPM, melodicrap poprap rap trap ,rock,0.703,0.661,-3.885,0.0539,0.0517,0.0,0.34,0.495,149.906
2Lx3cquFNmaE1vB4hUGEyd,rockstar lifestyle,ziggy zain,6lxCjSsAWBTdsGbr8Z7iwi, ,rock,0.584,0.347,-15.515,0.205,0.713,0.036,0.135,0.191,139.851
1jzIJcHCXneHw7ojC6LXiF,potato salad,"tyler, the creator",4V8LLVI7PbaPR0K2TGSxFF, hiphop rap ,rock,0.538,0.612,-6.02,0.424,0.308,0.0,0.213,0.684,168.197
3ncgNpxLoBQ65ABk4djDyd,pick it up (feat. a$ap rocky),famous dex,0WOxhx4hikIsyF3CRPLC8W, chicagorap drill hiphop poprap rap southernhiphop trap undergroundhiphop vaportrap viralrap ,rock,0.921,0.467,-8.443,0.119,0.0149,0.000238,0.334,0.287,135.995
5rX6C5QVvvZB7XckETNych,all summer long,kid rock,7dOBabd5O4CvKrg4iriHTM, alternativemetal numetal rock ,rock,0.7,0.864,-3.629,0.0283,0.0212,0.0,0.0956,0.887,102.997
2Cdvbe2G4hZsnhNMKyGrie,i love rock 'n roll,joan jett & the blackhearts,1Fmb52lZ6Jv7FMWXXTPO3K, glampunk rock ,rock,0.535,0.716,-5.025,0.0431,0.326,0.0,0.659,0.901,94.379
0gO3E51A3fqp0ypJ26QbVP,"t.d (lil yachty & tierra whack feat. a$ap rocky & tyler, the creator)",lil yachty,6icQOAFXDZKsumw3YXyusw, atlhiphop hiphop melodicrap rap southernhiphop trap undergroundhiphop ,rock,0.784,0.632,-6.083,0.347,0.156,0.0,0.605,0.746,124.603
0So2sgVa8aJiARPl2P29u2,pope is a rockstar,sales,6vVztIuqdDHvYWxOEXCzjN, indiepop orlandoindie ,rock,0.725,0.446,-8.958,0.0287,0.85,0.243,0.107,0.311,90.024
39shmbIHICJ2Wxnk1fPSdz,should i stay or should i go - remastered,the clash,3RGLhK1IP9jnYFH4BRFJBS, classicrock dancerock permanentwave punk rock ,rock,0.742,0.833,-6.463,0.115,0.079,0.0,0.384,0.816,113.375
2DQ1ITjI0YoLFzuADN1ZBW,no limit,g-eazy,02kJSzxNuaWGqwubyUba0Z, hiphop indiepoprap oaklandhiphop poprap rap ,rock,0.838,0.771,-3.791,0.244,0.0117,0.0,0.0853,0.405,175.957
6U4VqEHy4n5VeiH4pQPL24,you're welcome,dwayne johnson,1T8S48bD91THNKBByWBDyn, ,rock,0.788,0.745,-7.072,0.258,0.29,0.0,0.0373,0.672,135.278
10FAUhJFvLM70mhtscu7f4,radioactive - live london sessions / 2013,imagine dragons,53XhwfbYqKCa1cC15pYq2q, modernrock rock ,rock,0.495,0.553,-6.859,0.0397,0.0816,0.0,0.424,0.377,138.999
5JQVkWMnzmBgV1MjmlHpN7,demons - live london sessions / 2013,imagine dragons,53XhwfbYqKCa1cC15pYq2q, modernrock rock ,rock,0.613,0.365,-7.731,0.0269,0.335,0.0,0.126,0.32,90.419
0v2uEezQF0yIuEbjaDqM28,hand in my pocket - live/acoustic cover,imagine dragons,53XhwfbYqKCa1cC15pYq2q, modernrock rock ,rock,0.477,0.37,-10.627,0.121,0.755,0.0,0.0549,0.663,186.264
70Z9t1qhytWtG4cCmmi7mU,i wanna rock,twisted sister,7b85ve82Sh36a3UAx74wut, albumrock glammetal hardrock metal rock ,rock,0.504,0.911,-2.97,0.0738,0.00512,0.0123,0.355,0.671,106.244
21yRtB6B8EMounImAfHRCP,who dat boy (feat. a$ap rocky),"tyler, the creator",4V8LLVI7PbaPR0K2TGSxFF, hiphop rap ,rock,0.706,0.485,-9.671,0.331,0.337,0.0,0.122,0.144,115.414
51rXHuKN8Loc4sUlKPODgH,"king's dead (with kendrick lamar, future & james blake)",jay rock,28ExwzUQsvgJooOI0X1mr3, conscioushiphop gangsterrap hiphop poprap rap southernhiphop trap undergroundhiphop ,rock,0.645,0.705,-5.008,0.299,0.000813,0.0,0.128,0.376,137.133
3ow0TQVttXQF8rLckmXgRx,cherub rock - remastered 2011,the smashing pumpkins,40Yq4vzPs9VNUrIBG5Jr2i, alternativemetal alternativerock grunge permanentwave poprock rock ,rock,0.382,0.867,-7.426,0.0399,5.91e-06,0.581,0.196,0.453,87.309
69j0KoPJuwpnbGWrfn7Yll,picture (feat. sheryl crow),kid rock,7dOBabd5O4CvKrg4iriHTM, alternativemetal numetal rock ,rock,0.692,0.496,-7.332,0.0241,0.172,6.42e-06,0.107,0.376,97.945
