artist,genres
tom petty and the heartbreakers, albumrock classicrock countryrock folkrock hardrock heartlandrock mellowgold poprock psychedelicrock rock rootsrock softrock 
orleans, albumrock bubblegumpop classicrock countryrock folkrock mellowgold softrock yachtrock 
jon pardi, contemporarycountry country countryroad moderncountryrock 
wang chung, albumrock dancerock mellowgold newromantic newwave newwavepop softrock synthpop 
lee brice, contemporarycountry country countryroad moderncountryrock 
jennifer lopez, dancepop pop popdance poprap post-teenpop urbancontemporary 
jordan davis, contemporarycountry 
keybo!, 
morgan evans, australiancountry australianpop contemporarycountry 
aj mitchell, electropop indiecafepop pop post-teenpop socialmediapop 
112, atlhiphop boyband dancepop gangsterrap hippop newjackswing poprap r&b rap southernhiphop urbancontemporary 
jason mraz, acousticpop neomellow pop poprock 
boy in space, electropop indiecafepop pop 
tiësto, bigroom brostep dancepop dutchedm edm house pop popdance slaphouse trance tropicalhouse 
au/ra, deeppopedm electropop indiepoptimism pop 
luther vandross, funk motown neosoul newjackswing quietstorm r&b soul urbancontemporary 
k?d, electrohouse futurebass 
labrinth, dancepop indiepoptimism pop post-teenpop 
chinese football, chineseindie chinesepost-rock midwestemo wuhanindie 
juan magán, dancepop electrolatino latin latinpop reggaeton spanishpop traplatino tropical 
breathe electric, alternativepoprock electropowerpop neonpoppunk 
chance the rapper, chicagorap conscioushiphop hiphop poprap rap 
spaceinvader, darksynth 
jay electronica, alternativehiphop conscioushiphop hiphop psychedelichiphop rap southernhiphop undergroundhiphop 
penelope barnette, 
jay electronica, alternativehiphop conscioushiphop hiphop psychedelichiphop rap southernhiphop undergroundhiphop 
penelope barnette, 
jettie rojas, 
jay electronica, alternativehiphop conscioushiphop hiphop psychedelichiphop rap southernhiphop undergroundhiphop 
nakumeria, 
bruno martini, brazilianedm edm popdance popnacional 
アトラスサウンドチーム, japanesevgm 
bruno martini, brazilianedm edm popdance popnacional 
nakumeria, 
matchbox twenty, neomellow poprock post-grunge 
nakumeria, 
talib kweli, alternativehiphop conscioushiphop eastcoasthiphop hardcorehiphop hiphop southernhiphop 
florian selim schmidt, 
3oh!3, dancepop electropowerpop modernrock pop poppunk poprap post-teenpop 
leon bold, 
omega, dominicanpop rapdominicano 
belle & sebastian, alternativerock anti-folk baroquepop chamberpop freakfolk indiefolk indiepop indierock melancholia scottishindie scottishrock tweepop 
steam powered giraffe, comic steampunk 
araabmuzik, 
jay electronica, alternativehiphop conscioushiphop hiphop psychedelichiphop rap southernhiphop undergroundhiphop 
guided by voices, alternativepop alternativerock anti-folk artrock dancerock dreampop freakfolk garagepsych gbvfi indiepop indierock lo-fi modernpowerpop modernrock noisepop ohioindie post-hardcore powerpop 
bomba estéreo, cumbia latinalternative latinrock popelectronico 
chinese football, chineseindie chinesepost-rock midwestemo wuhanindie 
jay electronica, alternativehiphop conscioushiphop hiphop psychedelichiphop rap southernhiphop undergroundhiphop 
east forest, shamanic 
poo bear, popr&b 
アトラスサウンドチーム, japanesevgm 
sol rising, 
air, ambientpop downtempo electronica triphop 
esprit 空想, hardvapour vaporwave 
electronic, britpop dancerock madchester newromantic newwave newwavepop synthpop 
jay electronica, alternativehiphop conscioushiphop hiphop psychedelichiphop rap southernhiphop undergroundhiphop 
elias beyls, 
larnie, 
the bloody beetroots, alternativedance dance-punk edm electrohouse fidgethouse filterhouse newrave 
j57, irishundergroundrap 
asgard, 
dj supernova, 
dico veldhuizen, 
bobby cole, speedrun 
christopher lennertz, epicore scorecore soundtrack videogamemusic 
clotho, calminginstrumental 
taylor swift, dancepop pop popdance 
panic! at the disco, baroquepop emo modernrock 
taylor swift, dancepop pop popdance 
milo, alternativehiphop milwaukeehiphop 
taylor swift, dancepop pop popdance 
axes johnase, 
taylor swift, dancepop pop popdance 
digga d, aussiedrill londonrap 
peter bjorn and john, alternativedance baroquepop dance-punk indiepop indierock modernrock newrave swedishalternativerock swedishindiepop 
cody jinks, modernsouthernrock outlawcountry texascountry 
taylor swift, dancepop pop popdance 
taylor swift, dancepop pop popdance 
luke combs, contemporarycountry 
taylor swift, dancepop pop popdance 
hildur guðnadóttir, cello compositionalambient drone icelandicclassical icelandicexperimental moderncello soundtrack 
taylor swift, dancepop pop popdance 
danheim, runefolk vikingfolk 
taylor swift, dancepop pop popdance 
trevor kowalski, backgroundmusic calminginstrumental focus 
taylor swift, dancepop pop popdance 
folksaga, 
taylor swift, dancepop pop popdance 
judah & the lion, banjo folk-pop indiecoustica modernalternativerock modernrock poprock stompandholler 
taylor swift, dancepop pop popdance 
sewerperson, emorap sadrap 
noam pikelny, banjo bluegrass instrumentalbluegrass old-time progressivebluegrass 
joe walsh, albumrock bluesrock classicrock countryrock folkrock hardrock heartlandrock mellowgold rock rootsrock softrock southernrock symphonicrock 
montgomery gentry, contemporarycountry country countryroad moderncountryrock redneck 
taylor swift, dancepop pop popdance 
evil ebenezer, bcundergroundhiphop canadianhiphop canadianoldschoolhiphop outerhiphop 
taylor swift, dancepop pop popdance 
the 86'd, 
taylor swift, dancepop pop popdance 
nik davies, instrumentalacousticguitar 
taylor swift, dancepop pop popdance 
marwan pablo, egyptianhiphop 
taylor swift, dancepop pop popdance 
w. c. lindsay, 
